,budget,id,imdb_id,original_language,title,popularity,release_date,revenue,runtime,vote_average,collection_id,collection_name,production companies,production_countries,genres
45,46000000,888,tt0109813,en,The Flintstones,15.019585999999999,1994-05-26,341631208,91.0,5.0,351684,The Flintstones (Live-Action) Collection,"['Universal Pictures', 'Amblin Entertainment', 'Hanna-Barbera Productions']",['United States of America'],"['Fantasy', 'Comedy', 'Family']"
46,45000000,8587,tt0110357,en,The Lion King,21.605760999999998,1994-06-23,788241776,89.0,8.0,94032,The Lion King Collection,"['Walt Disney Pictures', 'Walt Disney Feature Animation']",['United States of America'],"['Family', 'Animation', 'Drama']"
47,14000000,11596,tt0111686,en,New Nightmare,9.860522,1994-10-13,18090181,112.0,6.4,8581,A Nightmare on Elm Street Collection,['New Line Cinema'],['United States of America'],"['Horror', 'Thriller', 'Mystery', 'Fantasy']"
48,23000000,854,tt0110475,en,The Mask,14.134879999999999,1994-07-29,351583407,101.0,6.6,43072,The Mask Collection,"['New Line Cinema', 'Dark Horse Entertainment']",['United States of America'],"['Romance', 'Comedy', 'Crime', 'Fantasy']"
49,30000000,36593,tt0110622,en,The Naked Gun 33⅓: The Final Insult,10.587232,1994-03-18,51132598,83.0,6.4,37139,Naked Gun Collection,['Paramount Pictures'],['United States of America'],"['Comedy', 'Crime']"
50,40000000,11011,tt0110989,en,Ri¢hie Ri¢h,6.595255,1994-12-19,0,95.0,5.4,167985,Richie Rich Collection,"['Davis Entertainment', 'Silver Pictures', 'Warner Bros.']",['United States of America'],"['Comedy', 'Family']"
51,30000000,1637,tt0111257,en,Speed,10.859292,1994-06-09,350448145,116.0,6.8,43064,Speed Collection,['Twentieth Century Fox Film Corporation'],['United States of America'],"['Action', 'Adventure', 'Crime']"
52,27000000,8831,tt0111438,en,Timecop,8.907074,1994-09-15,101646581,99.0,5.5,170452,Timecop Collection,"['Universal Pictures', 'Renaissance Pictures', 'Dark Horse Entertainment', 'Largo Entertainment', 'Signature Pictures', 'JVC Entertainment Networks']","['Japan', 'United States of America']","['Thriller', 'Science Fiction', 'Action', 'Crime']"
53,0,75555,tt0113043,en,The Fear,0.268043,1995-01-20,0,98.0,3.4,439409,Fear Collection,"['A-Pix Entertainment', 'Devin Entertainment']",['United States of America'],"['Horror', 'Thriller']"
54,26000000,8011,tt0110027,en,Highlander III: The Sorcerer,6.8666339999999995,1994-11-29,36800000,99.0,4.5,8050,Highlander Collection,"['Trans-Film', 'Initial Groupe', 'Lumière Pictures', 'Fallingcloud']","['Canada', 'France', 'United Kingdom']","['Action', 'Fantasy', 'Science Fiction']"
55,0,2758,tt0106220,en,Addams Family Values,17.555909,1993-11-19,48919043,94.0,6.5,11716,Addams Family Collection,"['Paramount Pictures', 'Orion Pictures', 'Scott Rudin Productions']",['United States of America'],"['Comedy', 'Family', 'Fantasy']"
56,0,9409,tt0106292,en,Another Stakeout,12.967239,1993-07-22,0,105.0,4.9,162028,Stakeout Collection,['Touchstone Pictures'],['United States of America'],"['Action', 'Comedy']"
57,50000000,306,tt0109254,en,Beverly Hills Cop III,11.787784,1994-05-24,119208989,104.0,5.5,85861,Beverly Hills Cop Collection,"['Paramount Pictures', 'Eddie Murphy Productions']",['United States of America'],"['Action', 'Comedy', 'Crime']"
58,0,11310,tt0109439,en,City Slickers II: The Legend of Curly's Gold,8.605703,1994-06-10,0,116.0,4.9,150156,City Slickers Collection,"['Columbia Pictures', 'Castle Rock Entertainment']",['United States of America'],"['Action', 'Comedy', 'Drama', 'Western']"
59,0,24257,tt0109729,en,The Endless Summer 2,0.408159,1994-06-03,0,109.0,7.1,252313,The Endless Summer Collection,[],['United States of America'],['Documentary']
60,20000000,1634,tt0106965,en,Free Willy,5.990572,1993-07-16,153698625,112.0,6.0,9328,Free Willy Collection,"['Canal Plus', 'Regency Enterprises', 'Alcor Films', 'Warner Bros.', 'Donner/Shuler-Donner Productions']","['France', 'United States of America']","['Family', 'Adventure']"
61,44000000,5503,tt0106977,en,The Fugitive,10.089369999999999,1993-08-06,368875760,130.0,7.2,134011,The Fugitive / U.S. Marshals Collection,['Warner Bros.'],['United States of America'],"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']"
62,18000000,2019,tt0107076,en,Hard Target,7.834351,1993-08-20,74189677,97.0,6.1,412680,Hard Target Collection,"['Universal Pictures', 'Renaissance Pictures', 'Alphaville Films']",['United States of America'],"['Action', 'Adventure', 'Crime', 'Thriller']"
63,25000000,9255,tt0107144,en,Hot Shots! Part Deux,13.482370999999999,1993-05-21,133752825,86.0,6.2,52988,Hot Shots! Collection,"['Twentieth Century Fox Film Corporation', 'Sidley Wright & Associates']",['United States of America'],"['Action', 'Comedy', 'War']"
64,0,16097,tt0110064,en,House Party 3,0.9960469999999999,1994-01-01,0,100.0,4.6,159600,House Party Collection,[],[],['Comedy']
65,63000000,329,tt0107290,en,Jurassic Park,8.863776,1993-06-11,920100000,127.0,7.6,328,Jurassic Park Collection,"['Universal Pictures', 'Amblin Entertainment']",['United States of America'],"['Adventure', 'Science Fiction']"
66,12000000,11231,tt0110657,en,The Next Karate Kid,9.9697,1994-07-18,15826984,107.0,4.8,8580,The Karate Kid Collection,['Columbia Pictures Corporation'],['United States of America'],['Adventure']
67,22000000,5550,tt0107978,en,RoboCop 3,8.685798,1993-04-17,10696210,104.0,4.2,5547,RoboCop Collection,['Orion Pictures'],['United States of America'],"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']"
68,0,11236,tt0108071,en,The Secret Garden,6.499523,1993-08-13,0,102.0,7.1,462565,The Secret Garden Collection,"['American Zoetrope', 'Warner Bros.']",['United States of America'],"['Drama', 'Family', 'Fantasy']"
69,25000000,8850,tt0111143,en,The Shadow,7.881107000000001,1994-07-01,48063435,108.0,5.4,105075,The Shadow Collection,['Universal Pictures'],['United States of America'],"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']"
70,28000000,78,tt0083658,en,Blade Runner,96.272374,1982-06-25,33139618,117.0,7.9,422837,Blade Runner Collection,"['Shaw Brothers', 'Warner Bros.', 'The Ladd Company']","['United States of America', 'Hong Kong', 'United Kingdom']","['Science Fiction', 'Drama', 'Thriller']"
71,0,9066,tt0112572,en,The Brady Bunch Movie,4.233092,1995-02-16,0,84.0,5.9,224478,The Brady Bunch Collection,['Paramount Pictures'],['United States of America'],['Comedy']
72,18000000,771,tt0099785,en,Home Alone,0.702543,1990-11-09,476684675,103.0,7.1,9888,Home Alone Collection,"['Twentieth Century Fox Film Corporation', 'Hughes Entertainment']",['United States of America'],"['Comedy', 'Family']"
73,28000000,812,tt0103639,en,Aladdin,16.357419,1992-11-25,504050219,90.0,7.4,86027,Aladdin Collection,['Walt Disney Pictures'],['United States of America'],"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy', 'Romance']"
74,100000000,280,tt0103064,en,Terminator 2: Judgment Day,22.661695,1991-07-01,520000000,137.0,7.7,528,The Terminator Collection,"['Lightstorm Entertainment', 'Pacific Western', 'Canal+', 'Carolco Pictures', 'T2 Productions']","['France', 'United States of America']","['Action', 'Thriller', 'Science Fiction']"
75,35000000,268,tt0096895,en,Batman,19.10673,1989-06-23,411348924,126.0,7.0,120794,Batman Collection,"['PolyGram Filmed Entertainment', 'The Guber-Peters Company', 'Warner Bros.']","['United Kingdom', 'United States of America']","['Fantasy', 'Action']"
76,25000000,10020,tt0101414,en,Beauty and the Beast,23.433511,1991-11-13,377350553,84.0,7.5,153010,Beauty and the Beast Collection,"['Walt Disney Pictures', 'Walt Disney Animation Studios', 'Silver Screen Partners IV']",['United States of America'],"['Romance', 'Family', 'Animation', 'Fantasy', 'Music']"
77,0,10824,tt0112625,en,Candyman: Farewell to the Flesh,4.9835519999999995,1995-03-17,13940383,93.0,5.0,98580,Candyman Collection,"['Propaganda Films', 'PolyGram Filmed Entertainment']",['United States of America'],['Horror']
78,0,25059,tt0116552,en,Homeward Bound II: Lost in San Francisco,14.657754,1996-03-08,32709423,89.0,6.0,43058,Homeward Bound Collection,['Walt Disney Pictures'],"['Canada', 'United States of America']","['Adventure', 'Comedy', 'Drama', 'Family']"
79,9300000,11827,tt0082509,en,Heavy Metal,7.640072999999999,1981-08-07,0,90.0,6.3,141086,Heavy Metal Collection,['Canadian Film Development Corporation (CFDC)'],['Canada'],"['Animation', 'Science Fiction']"
80,4000000,8766,tt0116514,en,Hellraiser: Bloodline,5.263187,1996-03-08,16675000,86.0,4.9,8917,Hellraiser Collection,"['Miramax Films', 'Dimension Films', 'Trans Atlantic Entertainment']",['United States of America'],"['Horror', 'Thriller', 'Science Fiction']"
81,0,19042,tt0115509,en,All Dogs Go to Heaven 2,5.028897,1996-03-29,8620678,82.0,5.0,140910,All Dogs Go to Heaven Collection,['Metro-Goldwyn-Mayer (MGM)'],['United States of America'],"['Romance', 'Animation', 'Family', 'Adventure', 'Fantasy']"
82,80000000,954,tt0117060,en,Mission: Impossible,15.793477,1996-05-22,457696359,110.0,6.7,87359,Mission: Impossible Collection,"['Paramount Pictures', 'Cruise/Wagner Productions']",['United States of America'],"['Adventure', 'Action', 'Thriller']"
83,57000000,8840,tt0116136,en,DragonHeart,23.636589999999998,1996-05-31,115267375,103.0,6.4,169452,DragonHeart Collection,['Universal Pictures'],['United States of America'],['Fantasy']
84,0,25087,tt0112536,en,Bloodsport II,3.085207,1996-03-01,684351,90.0,5.2,36694,Bloodsport Collection,['FM Entertainment International N.V.'],['United States of America'],"['Action', 'Thriller']"
85,0,5801,tt0048473,bn,পথের পাঁচালী,3.9007089999999995,1955-08-26,536364,125.0,7.9,158391,The Apu Collection,['Government of West Bengal'],['India'],['Drama']
86,0,896,tt0052572,bn,অপুর সংসার,2.381806,1959-05-01,16000,117.0,8.2,158391,The Apu Collection,['Satyajit Ray Productions'],['India'],['Drama']
87,220000,8072,tt0058898,fr,"Alphaville, une étrange aventure de Lemmy Caution",4.658149,1965-05-05,0,100.0,6.8,144146,Lemmy Caution Collection,"['Filmstudio', 'Athos Films', 'Chaumiane']","['Italy', 'France']","['Drama', 'Science Fiction', 'Mystery']"
88,0,20762,tt0117774,en,The Substitute,10.685369999999999,1996-04-19,0,114.0,5.8,143766,The Substitute Collection,['Live Entertainment'],['United States of America'],"['Action', 'Thriller']"
89,0,11687,tt0108500,fr,Les visiteurs,7.326169,1993-01-27,0,107.0,7.1,52888,The Visitors Collection,"['Canal Plus', 'Gaumont International', 'France 3 Cinema']",['France'],"['Fantasy', 'Comedy', 'Science Fiction']"
90,0,9323,tt0113568,ja,GHOST IN THE SHELL,10.686166,1995-11-18,2287714,83.0,7.8,23026,Ghost in the Shell Collection,"['Bandai Visual Company', 'Kodansha', 'Production I.G.']",['Japan'],"['Action', 'Animation', 'Science Fiction']"
91,0,532,tt0112691,en,A Close Shave,6.796858,1995-12-24,0,30.0,7.5,529,Wallace & Gromit Collection,['Aardman Animations'],['United Kingdom'],"['Family', 'Animation', 'Comedy']"
92,25000000,10547,tt0115571,en,The Arrival,6.497591000000001,1996-05-31,14048372,115.0,6.1,116661,The Arrival Collection,"['Live Entertainment', 'Steelwork Films', 'Mediaworks']","['Mexico', 'United States of America']","['Action', 'Mystery', 'Science Fiction', 'Thriller']"
93,4000000,627,tt0117951,en,Trainspotting,19.348466000000002,1996-02-23,16491080,93.0,7.8,424202,Trainspotting Collection,"['Miramax Films', 'Channel Four Films', 'Noel Gay Motion Picture Company', 'Figment Films', 'Film4']",['United Kingdom'],"['Drama', 'Crime']"
94,75000000,602,tt0116629,en,Independence Day,17.634197,1996-06-25,816969268,145.0,6.7,304378,Independence Day Collection,"['Twentieth Century Fox Film Corporation', 'Centropolis Entertainment']",['United States of America'],"['Action', 'Adventure', 'Science Fiction']"
95,100000000,10545,tt0116583,en,The Hunchback of Notre Dame,13.553999,1996-06-21,100138851,91.0,6.8,97456,The Hunchback of Notre Dame Collection,['Walt Disney Pictures'],['United States of America'],"['Drama', 'Animation', 'Family']"
96,54000000,9327,tt0117218,en,The Nutty Professor,9.651581,1996-06-26,128769345,95.0,5.4,86028,The Nutty Professor Collection,"['Imagine Entertainment', 'Universal Pictures']",['United States of America'],"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']"
97,0,12606,tt0118073,en,A Very Brady Sequel,9.898696000000001,1996-08-23,0,90.0,5.8,224478,The Brady Bunch Collection,['Paramount Pictures'],['United States of America'],['Comedy']
98,13000000,10546,tt0115986,en,The Crow: City of Angels,6.554678999999999,1996-08-29,17917287,84.0,5.2,9436,The Crow Collection,['Miramax Films'],['United States of America'],"['Action', 'Fantasy', 'Thriller']"
99,15000000,9431,tt0117826,en,Bordello of Blood,3.4504019999999995,1996-08-16,5600000,87.0,5.0,115142,Tales from the Crypt Collection,"['Universal Pictures', 'Tales From The Crypt Holdings', 'Universal City Studios']",['United States of America'],"['Horror', 'Comedy']"
100,50000000,10061,tt0116225,en,Escape from L.A.,12.229381,1996-08-09,42277365,97.0,5.6,115838,Escape From ... Collection,"['Paramount Pictures', 'Rysher Entertainment']",['United States of America'],"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
101,6000000,238,tt0068646,en,The Godfather,41.109264,1972-03-14,245066411,175.0,8.5,230,The Godfather Collection,"['Paramount Pictures', 'Alfran Productions']",['United States of America'],"['Drama', 'Crime']"
102,900000,11134,tt0104558,cn,警察故事 III：超級警察,6.751864,1992-07-04,20483423,95.0,6.7,269098,Police Story Collection,"['Golden Harvest Company', 'Golden Way Films Ltd.']",['Hong Kong'],"['Action', 'Crime', 'Thriller']"
103,0,38955,tt0106544,cn,超级计划,1.2625389999999999,1993-10-21,0,104.0,5.8,269098,Police Story Collection,['Golden Harvest Company'],['Hong Kong'],"['Action', 'Adventure', 'Crime']"
104,0,19004,tt0113596,en,The Land Before Time III: The Time of the Great Giving,6.3724419999999995,1995-03-16,0,71.0,6.1,19163,The Land Before Time Collection,['Universal Cartoon Studios'],['United States of America'],"['Animation', 'Adventure', 'Family']"
105,5000000,10987,tt0113253,en,Halloween: The Curse of Michael Myers,8.768288,1995-09-29,15116634,88.0,5.0,91361,Halloween Collection,['Miramax Films'],['United States of America'],"['Horror', 'Thriller']"
106,226408,3529,tt0025878,en,The Thin Man,10.573867,1934-05-25,1423000,93.0,7.4,47814,The Thin Man Collection,['Metro-Goldwyn-Mayer (MGM)'],['United States of America'],"['Comedy', 'Crime', 'Mystery']"
107,114000,10331,tt0063350,en,Night of the Living Dead,14.384198000000001,1968-10-01,30000000,96.0,7.5,261590,Living Dead Collection,"['Laurel Group', 'Off Color Films', 'Image Ten', 'Market Square Productions']",['United States of America'],['Horror']
108,0,39448,tt0093229,cn,Huang jia shi jie,1.0600969999999998,1985-01-01,0,93.0,7.4,242765,In the Line of Duty Collection,['D & B Films Co. Ltd.'],['Hong Kong'],"['Action', 'Foreign']"
109,0,10680,tt0116000,en,D3: The Mighty Ducks,5.511475,1996-10-04,22955097,104.0,5.3,10709,The Mighty Ducks Collection,['Walt Disney'],['United States of America'],"['Action', 'Comedy', 'Drama', 'Family']"
110,0,18660,tt0072653,en,The Apple Dumpling Gang,4.040945,1975-07-01,0,100.0,6.6,87232,The Apple Dumpling Gang Collection,['Walt Disney Productions'],['United States of America'],"['Comedy', 'Family']"
111,0,35115,tt0047977,en,"Davy Crockett, King of the Wild Frontier",5.497358999999999,1955-05-25,0,93.0,5.9,181496,Davy Crockett Collection,['Walt Disney Productions'],['United States of America'],"['Action', 'Adventure', 'Family', 'Western']"
112,0,14821,tt0072951,en,Escape to Witch Mountain,7.1516910000000005,1975-03-21,20000000,97.0,6.5,90348,Witch Mountain Collection,['Walt Disney Productions'],['United States of America'],"['Adventure', 'Fantasy', 'Science Fiction', 'Family']"
113,0,14136,tt0064603,en,The Love Bug,10.091707000000001,1968-12-22,0,107.0,6.0,12087,Herbie Collection,['Walt Disney Productions'],['United States of America'],"['Comedy', 'Family', 'Fantasy']"
114,0,10869,tt0071607,en,Herbie Rides Again,4.914603,1974-02-14,0,88.0,5.9,12087,Herbie Collection,['Walt Disney Pictures'],['United States of America'],"['Romance', 'Comedy', 'Family', 'Fantasy']"
115,0,19186,tt0055277,en,The Parent Trap,5.807074,1961-06-12,0,129.0,6.8,216395,Parent Trap Collection,['Walt Disney Pictures'],['United States of America'],"['Comedy', 'Family']"
116,0,6878,tt0107131,en,Homeward Bound: The Incredible Journey,7.186506,1993-02-03,0,84.0,6.6,43058,Homeward Bound Collection,"['Walt Disney Pictures', 'Touchwood Pacific Partners 1']",['United States of America'],"['Adventure', 'Comedy', 'Drama', 'Family']"
117,0,15944,tt0053271,en,The Shaggy Dog,3.404213,1959-03-19,0,104.0,6.2,294519,The Shaggy Dog Collection,['Walt Disney Productions'],['United States of America'],"['Comedy', 'Family']"
